# compliance dependency mapping
# snapshot_taken_at=2026-09-17T04:28:55Z
# endpoint=petsite-neptune.cluster-czbjnsviioad.ap-northeast-1.neptune.amazonaws.com
# dependency_edge_labels=AccessesData,Calls,Delegates,DependsOn,Invokes,InvokesTool,PublishesTo,Retrieves,RoutesToRuntime,RoutesVia
# source=graph_contract.dependency_edge_labels()
capability,tier,service,service_label,edge_type,target,target_label,target_scope,dependency_kind,verify_status,confidence,verify_severance,verify_evidence_channel,source,drift_status,last_seen,verify_experiment
AdoptionHistoryView,Tier1,pethistory,Microservice,AccessesData,serviceseks2-databaseb269d8bb-efjeyzicx2ak,RDSCluster,observed,static,inconclusive,,,,aws-etl,declared_not_observed,1789619206,exp-serviceseks2-databaseb269d8bb-efjeyzicx2ak-fis-rds-reboot-20260831-110323
AdoptionHistoryView,Tier1,pethistory,Microservice,AccessesData,serviceseks2-databasereader1f54479b8-hpyukqlufzus,RDSInstance,,dynamic,confirmed,,rds-reboot,rds-event+business-probe,deepflow-l4,,1789619206,rds-fault-probe_20260915-052215
AdoptionHistoryView,Tier1,pethistory,Microservice,AccessesData,serviceseks2-databasewriter2462cc03-fwgfu4gossqe,RDSInstance,observed,dynamic,,,,,deepflow-l4,,1789120606,
AdoptionHistoryView,Tier1,pethistory,Microservice,DependsOn,pet-adoptions-history,ECRRepository,observed,dynamic,,,,,deepflow-etl,,,
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,ServicesEks2-ddbpetadoption7B7CFEC9-3B009FBSQFAM,DynamoDBTable,observed,static,,,,,aws-etl,declared_not_observed,1788627649,
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,StepFnStateMachine76D362E8-3jkn8j2OUpdQ,StepFunction,observed,dynamic,modeling_artifact,,source-audit,source-code+iac,deepflow-dns,declared_not_observed,1788579104,source-audit-20260915
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,dynamodb,AWSServiceEndpoint,external,dynamic,bootstrap_only,,source-audit,source-code+iac,nfm,,1788595248,source-audit-20260915
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,serviceseks2-databaseb269d8bb-efjeyzicx2ak,RDSCluster,observed,static,confirmed,,,,aws-etl,declared_not_observed,1789619206,exp-serviceseks2-databaseb269d8bb-efjeyzicx2ak-fis-rds-reboot-20260831-110323
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,serviceseks2-databasereader1f54479b8-hpyukqlufzus,RDSInstance,,dynamic,confirmed,,rds-reboot,xray-edge+business-probe,deepflow-l4,,1789619206,rds-fault-probe_20260914-022850
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,serviceseks2-databasewriter2462cc03-fwgfu4gossqe,RDSInstance,observed,dynamic,,,,,deepflow-l4,,1789120606,
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,serviceseks2-s3bucketpetadoptioncb20dce5-69ffxu9epttb,S3Bucket,observed,dynamic,,,,,deepflow-dns,declared_not_observed,1788579104,
PetAdoptionFlow,Tier0,payforadoption,Microservice,AccessesData,ssm,AWSServiceEndpoint,external,dynamic,inconclusive,,iam-deny,xray-edge+business-probe,xray,,1788634772,iam-deny-probe_20260913-220634
PetAdoptionFlow,Tier0,payforadoption,Microservice,Calls,petsearch,Microservice,observed,dynamic,confirmed,,k8s-service-blackhole,xray-edge+business-probe,deepflow-etl,,1789615902,svc-blackhole-probe_20260915-101103
PetAdoptionFlow,Tier0,payforadoption,Microservice,DependsOn,cdk-hnb659fds-container-assets-926093770964-ap-northeast-1,ECRRepository,scaffolding,dynamic,inconclusive,,,,deepflow-etl,,,"image-repo-dependency: cutting ECR affects only new Pod image pulls, not already-running Pods; no runtime degradation observable"
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,ServicesEks2-ddbpetadoption7B7CFEC9-3B009FBSQFAM,DynamoDBTable,observed,dynamic,modeling_artifact,,source-audit,source-code+iac,deepflow-dns,declared_not_observed,1788801407,source-audit-20260915
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,StepFnStateMachine76D362E8-3jkn8j2OUpdQ,StepFunction,observed,dynamic,,,,,xray,declared_not_observed,1789412448,
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,serviceseks2-databaseb269d8bb-efjeyzicx2ak,RDSCluster,observed,dynamic,modeling_artifact,,source-audit,source-code+iac,deepflow-dns,declared_not_observed,1788801407,source-audit-20260915
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,serviceseks2-s3bucketpetadoptioncb20dce5-69ffxu9epttb,S3Bucket,observed,dynamic,,,,,deepflow-dns,declared_not_observed,1788801407,
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,sns,AWSServiceEndpoint,external,dynamic,,,,,appsignals-etl,,1789618873,
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,ssm,AWSServiceEndpoint,external,dynamic,confirmed,,,throughput_only,xray,,1789618873,exp-petsite-network-partition-20260831-165936
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,stepfunctions,AWSServiceEndpoint,external,dynamic,,,,,appsignals-etl,,1789415474,
PetAdoptionFlow,Tier0,petsite,Microservice,AccessesData,sts,AWSServiceEndpoint,external,dynamic,,,,,xray,,1789618873,
PetAdoptionFlow,Tier0,petsite,Microservice,Calls,payforadoption,Microservice,observed,dynamic,inconclusive,,,none,deepflow-etl,,1789618873,exp-pay-for-adoption-http-chaos-20260905-053059
PetAdoptionFlow,Tier0,petsite,Microservice,Calls,petfood,Microservice,observed,dynamic,confirmed,,,,deepflow-etl,,1788681077,networkchaos-partition:petsite->petfood
PetAdoptionFlow,Tier0,petsite,Microservice,Calls,pethistory,Microservice,observed,dynamic,confirmed,,,throughput_only,deepflow-etl,,1789470176,exp-pethistory-http-chaos-20260905-064354
PetAdoptionFlow,Tier0,petsite,Microservice,Calls,petlistadoptions,Microservice,observed,dynamic,inconclusive,,,throughput_only,deepflow-etl,,1789467702,exp-list-adoptions-http-chaos-20260905-064919
PetAdoptionFlow,Tier0,petsite,Microservice,Calls,petsearch,Microservice,observed,dynamic,confirmed,,,throughput_only,deepflow-etl,,1789619202,exp-search-service-http-chaos-20260905-073516
PetAdoptionFlow,Tier0,petsite,Microservice,DependsOn,ServicesEks2-sqspetadoption2E8B1217-4T0KP1GHgwoj,SQSQueue,observed,dynamic,confirmed,,iam-deny,xray-edge+business-probe,xray,,1789617649,iam-deny-probe_20260913-212633
PetAdoptionFlow,Tier0,petsite,Microservice,DependsOn,WaggleAIOrchestrator,AgentRuntime,observed,static,,,,,agentcore-etl,,1789618873,
PetAdoptionFlow,Tier0,petsite,Microservice,DependsOn,cdk-hnb659fds-container-assets-926093770964-ap-northeast-1,ECRRepository,scaffolding,dynamic,inconclusive,,,,deepflow-etl,,,"image-repo-dependency: cutting ECR affects only new Pod image pulls, not already-running Pods; no runtime degradation observable"
PetAdoptionFlow,Tier0,petsite,Microservice,DependsOn,petadoptions/petsite,ECRRepository,observed,dynamic,,,,,deepflow-etl,,,
PetAdoptionFlow,Tier0,petsite,Microservice,PublishesTo,ServicesEks2-sqspetadoption2E8B1217-4T0KP1GHgwoj,SQSQueue,observed,,confirmed,,iam-deny,xray-edge+business-probe,aws-etl,ok,,iam-deny-probe_20260913-212633
PetAdoptionFlow,Tier0,petsite,Microservice,PublishesTo,ServicesEks2-topicpetadoption192CAB8F-Dn0iiU45RZ1g,SNSTopic,observed,,confirmed,,iam-deny,xray-edge+business-probe,aws-etl,declared_not_observed,1789617649,iam-deny-probe_20260913-203500
PetInventoryManagement,Tier1,ServicesEks2-statusupdaterservicelambdafn37242E00-0SHsIkrhwJ32,LambdaFunction,AccessesData,ServicesEks2-ddbpetadoption7B7CFEC9-3B009FBSQFAM,DynamoDBTable,observed,static,,,,,aws-etl,,1789618648,
PetInventoryManagement,Tier1,ServicesEks2-statusupdaterservicelambdafn37242E00-0SHsIkrhwJ32,LambdaFunction,AccessesData,dynamodb,AWSServiceEndpoint,external,dynamic,,,,,xray,,1788631248,
PetInventoryManagement,Tier1,petlistadoptions,Microservice,AccessesData,serviceseks2-databaseb269d8bb-efjeyzicx2ak,RDSCluster,observed,static,confirmed,,,,aws-etl,declared_not_observed,1789120606,exp-serviceseks2-databaseb269d8bb-efjeyzicx2ak-fis-rds-reboot-20260831-110323
PetInventoryManagement,Tier1,petlistadoptions,Microservice,AccessesData,serviceseks2-databasereader1f54479b8-hpyukqlufzus,RDSInstance,,dynamic,,,,,deepflow-l4,,1789120606,
PetInventoryManagement,Tier1,petlistadoptions,Microservice,AccessesData,serviceseks2-databasewriter2462cc03-fwgfu4gossqe,RDSInstance,observed,dynamic,confirmed,,rds-reboot,xray-edge+business-probe,deepflow-l4,,1789619206,rds-fault-probe_20260915-044945
PetInventoryManagement,Tier1,petlistadoptions,Microservice,Calls,petsearch,Microservice,observed,dynamic,inconclusive,,,none,deepflow-etl,,1789619202,exp-search-service-http-chaos-20260905-073516
PetInventoryManagement,Tier1,petlistadoptions,Microservice,DependsOn,cdk-hnb659fds-container-assets-926093770964-ap-northeast-1,ECRRepository,scaffolding,dynamic,inconclusive,,,,deepflow-etl,,,"image-repo-dependency: cutting ECR affects only new Pod image pulls, not already-running Pods; no runtime degradation observable"
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,ServicesEks2-ddbpetadoption7B7CFEC9-3B009FBSQFAM,DynamoDBTable,observed,static,confirmed,,iam-deny,xray-edge+business-probe,aws-etl,ok,1789617649,iam-deny-probe_20260913-155349
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,dynamodb,AWSServiceEndpoint,external,dynamic,confirmed,,,both,nfm,,1789618640,exp-dynamodb-fis-network-disrupt-20260831-160742
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,s3,AWSServiceEndpoint,external,dynamic,inconclusive,,,none,xray,,1789618640,exp-s3-fis-network-disrupt-20260831-160219
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,serviceseks2-s3bucketpetadoptioncb20dce5-69ffxu9epttb,S3Bucket,observed,static,,,,,aws-etl,ok,1789617649,
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,ssm,AWSServiceEndpoint,external,dynamic,,,,,xray,,1789411875,
PetInventoryManagement,Tier1,petsearch,Microservice,AccessesData,sts,AWSServiceEndpoint,external,dynamic,modeling_artifact,,source-audit,source-code+iac,xray,,1789618873,source-audit-20260915
PetInventoryManagement,Tier1,petsearch,Microservice,DependsOn,cdk-hnb659fds-container-assets-926093770964-ap-northeast-1,ECRRepository,scaffolding,dynamic,inconclusive,,,,deepflow-etl,,,"image-repo-dependency: cutting ECR affects only new Pod image pulls, not already-running Pods; no runtime degradation observable"
